id;text;note
0;;
1;Warte auf die Netzwerkkonfiguration.;Netzwerk-Setup
2;Keine Verbindung zum WLAN. Bitte prüfe das Passwort und versuche es erneut.;
3;Keine Verbindung zum Server. Bitte prüfe dein Netzwerk und versuche es erneut.;
4;Netzwerkkonfiguration beendet.;
5;Netzwerk verbunden.;
6;Netzwerkverbindung fehlgeschlagen. Bitte später erneut versuchen.;
7;Ich fange an zu saugen.;START – Kernansage
8;Ich starte die Punktreinigung.;
9;Ich starte die geplante Reinigung.;
10;Ich setze die Reinigung fort.;
11;Ich mache kurz Pause.;PAUSE – Kernansage
12;Fertig, die Reinigung ist abgeschlossen.;FERTIG – Kernansage
13;Ich fahre zurück zur Station und lade auf.;
14;Akku schwach. Ich fahre zur Station und mache danach weiter.;
15;Ich fahre jetzt zum Startpunkt zurück.;
16;Akku schwach. Ich fahre zum Startpunkt zurück. Bitte lade mich auf.;
17;Bitte setz mich zum Laden auf die Station.;
18;Ich lade auf.;
19;Bitte nimm mich von der Station, bevor du mich ausschaltest.;
20;Der Akku ist schwach.;
21;Akku schwach. Ich schalte mich jetzt aus.;
22;Bitte setz mich in einen Bereich, der gereinigt werden soll.;
23;Der Wassertank ist eingesetzt.;
24;Bitte prüfe, ob der Wassertank richtig sitzt.;
25;Akku zu schwach. Die geplante Reinigung kann ich nicht ausführen.;
26;Ich setze mich auf die Werkseinstellungen zurück.;
27;Update läuft, das dauert etwa fünf Minuten. Bitte schalte mich nicht aus und starte keine Reinigung.;
28;Das Update war erfolgreich.;
29;Das Update ist fehlgeschlagen. Bitte versuche es erneut.;
30;Ich positioniere mich, einen Moment bitte.;
31;Positionierung fehlgeschlagen, die Karte ist ungültig. Ich starte eine neue Reinigung.;
32;Ich habe Änderungen in der Umgebung erkannt. Bitte starte einen neuen Reinigungsdurchlauf.;
33;Fehler in der optischen Navigation. Bitte wische den Sensor sauber und starte mich neu.;
34;Der Staubbehälter fehlt. Bitte setz ihn ein.;
35;Fehler bei der Hauptbürste. Bitte prüfe und reinige sie.;
36;Fehler bei der Seitenbürste. Bitte prüfe und reinige sie.;
37;Fehler am rechten Rad. Bitte prüfe es.;
38;Fehler am linken Rad. Bitte prüfe es.;
39;Bitte reinige den Absturzsensor.;
40;(Schrei - Override aus sounds/overrides/40.ogg);ANGESTOSSEN/FESTGEFAHREN - Michael-Reeves-Gag
41;Meine Räder hängen in der Luft. Bitte stell mich zurück auf den Boden.;
42;Bitte prüfe und reinige den Filter.;
43;Fehler am Stoßsensor. Bitte tippe kurz dagegen, ob er wieder federt.;
44;Fehler. Bitte schau in die Bedienungsanleitung oder melde dich beim Kundendienst.;
45;Hier bin ich!;LOCATE – Kernansage
46;Roboter und Handy sind verbunden. Bitte warte in der App auf das Ergebnis.;
47;Ich beginne mit dem Laden.;
48;Akku schwach. Ich fahre zur Station.;
49;Starkes Magnetfeld erkannt. Bitte stell mich woanders hin und starte neu.;
50;Ladefehler. Bitte reinige die Ladekontakte.;
51;Der Akku ist zu warm oder zu kalt. Bitte warte, bis die Temperatur wieder normal ist.;
52;Ich bin gekippt. Bitte stell mich auf einen ebenen Boden.;
53;Verbotene Zone erkannt. Bitte stell mich woanders hin und starte neu.;
54;Positionierung erfolgreich. Ich setze die Reinigung fort.;
55;Positionierung erfolgreich. Ich fahre weiter zur Station.;
56;Ich starte die Reinigung der gewählten Räume.;
57;Ich starte die Zonenreinigung.;
58;Ich führe die Reinigung aus.;
59;Wischen abgeschlossen. Bitte nimm den Wassertank rechtzeitig ab.;
60;Fehler am Optifluss-Sensor. Bitte wische ihn sauber und starte neu.;
61;Ich fange an zu wischen.;
62;Ich starte die Fernsteuerungs-Reinigung.;
63;Der Wassertank wurde entfernt.;
64;Positionierung fehlgeschlagen, die Karte ist ungültig. Ich fahre zurück zur Station.;
65;Ich fahre weiter zurück zur Station.;
66;Der Filter ist verschlissen. Bitte tausche ihn bald aus.;
67;Die Seitenbürste ist verschlissen. Bitte tausche sie bald aus.;
68;Die Hauptbürste ist verschlissen. Bitte tausche sie bald aus.;
69;Der Weg ist blockiert. Bitte setz mich um, dann mache ich weiter.;
70;Bitte nimm den Wischmopp ab und reinige ihn.;
71;Fehler am Lasersensor. Bitte prüfe und reinige ihn.;
72;Bitte prüfe, ob die Abdeckung des Lasersensors klemmt.;
73;Fehler am Kantensensor. Bitte prüfe und reinige ihn.;
74;Bitte reinige die Hindernissensoren.;
75;Der Filter ist vielleicht noch nass oder verstopft.;
76;Ich starte die Punktreinigung.;
77;Bitte starte mich nicht auf einem Teppich.;
78;Bitte reinige den 3D-Hindernissensor.;
79;Fehler am 3D-Hindernissensor. Bitte starte mich neu oder melde dich beim Kundendienst.;
80;Der Sender des 3D-Hindernissensors ist defekt. Bitte starte mich neu oder melde dich beim Kundendienst.;
81;Fehler am Ultraschallsensor. Bitte starte mich neu oder melde dich beim Kundendienst.;
82;Ich beginne mit dem Kartieren.;
83;Ich führe die Kartierung aus.;
84;Die Kartierung ist fertig.;
85;Positionierung erfolgreich. Ich kartiere weiter.;
86;Positionierung fehlgeschlagen. Ich starte die Kartierung neu.;
87;Akku schwach. Ich fahre zur Station.;
88;Fernsteuerungsmodus aktiv.;
89;Ich lade weiter auf.;
90;Ich führe die Reinigung aus.;
91;Der Frischwassertank fehlt. Bitte setz ihn ein, bevor ich weiterarbeite.;
92;Der Schmutzwassertank fehlt. Bitte setz ihn ein, bevor ich weiterarbeite.;
93;Im Frischwassertank ist zu wenig Wasser. Bitte füll nach, bevor ich weiterarbeite.;
94;Der Schmutzwassertank ist voll. Bitte leer ihn, bevor ich weiterarbeite.;
95;Die Wischplatte fehlt. Ich kann nicht zur Station zurückfahren.;
96;Die Wischplatte läuft über. Bitte prüfe, ob der Wasserauslass verstopft ist.;
97;Der Staubbeutel fehlt. Bitte setz ihn ein, bevor ich weiterarbeite.;
98;Der Staubbeutel ist voll. Bitte leer ihn.;
99;Die Abdeckung des Absaugfachs ist offen. Bitte schließe sie, bevor ich weiterarbeite.;
100;Der Luftkanal des Absaugfachs ist verstopft. Bitte prüfe ihn.;
101;Die Abdeckung der Absaugstation ist offen oder der Staubbeutel fehlt. Bitte beides prüfen.;
102;Der Staubbeutel ist voll oder der Luftkanal ist verstopft. Bitte tausche den Beutel oder reinige den Kanal.;
103;Die Wischplatte ist eingesetzt. Ich arbeite weiter.;
104;Die Wischplatte fehlt. Bitte setz sie ein und raste beide Seiten fest.;
105;Ich fange an zu saugen.;
106;Ich starte die Moppreinigung.;
107;Ich starte das Trocknen des Mopps.;
108;Der Wasserstand der Wischplatte ist ungewöhnlich. Bitte reinige sie, damit nichts verstopft.;
109;Fehler am Schmutzwassertank. Bitte prüfe, ob er richtig sitzt, und leer ihn rechtzeitig.;
110;Ich starte die automatische Absaugung.;
111;Die Wischmopps sind ab. Bitte montiere sie, bevor ich weiterarbeite.;
112;Bitte setz mich vor dem Betrieb auf die Waschstation.;
113;Aufgabe erledigt. Bitte leer den Abfallbehälter rechtzeitig.;
114;Die Wischmopps sind montiert.;
115;Die Wischmopps wurden entfernt.;
116;Kindersicherung an. Tasten gesperrt.;
117;Kindersicherung aus. Tasten entsperrt.;
118;Tasten gesperrt. Halte die Taste an der Station gedrückt zum Entsperren.;
119;Die Tasten sind gesperrt.;
120;Die Tasten sind entsperrt.;
121;Roboter und Handy sind verbunden. Bitte warte in der App auf den Abschluss.;
122;Ich positioniere laufend, einen Moment bitte.;
126;Ich fange an zu saugen.;
127;Ich starte die Punktreinigung.;
128;Ich starte die Punktwischreinigung.;
129;Ich starte die geplante Reinigung.;
130;Ich starte die geplante Wischreinigung.;
131;Ich starte die Punktreinigung.;
132;Ich starte die Punktwischreinigung.;
133;Ich starte die Reinigung der gewählten Räume.;
134;Ich starte die Wischreinigung der gewählten Räume.;
135;Ich starte die Zonenreinigung.;
136;Ich starte die Zonenwischreinigung.;
137;Ich setze die Reinigung fort.;
138;Ich setze das Wischen fort.;
139;Ich setze die Rückfahrt zur Waschstation fort.;
140;Neue Umgebung erkannt. Ich fahre zurück zur Waschstation.;
141;Fehler am Wischmopp. Bitte prüfe und reinige ihn.;
142;Der Wischmopp ist verschlissen. Bitte tausche ihn bald aus.;
143;Die Reinigung ist abgeschlossen.;FERTIG (Variante)
144;Das Wischen ist abgeschlossen.;
145;Positionierung erfolgreich. Ich setze die Reinigung fort.;
146;Positionierung erfolgreich. Ich setze das Wischen fort.;
148;Ich fahre zur Waschstation zurück.;
149;Ich kann den Bereich nicht erreichen. Bitte räum Hindernisse aus dem Weg.;
150;Ich kann den Bereich nicht erreichen. Bitte lösche Sperrzonen auf dem Weg.;
151;Der Weg ist blockiert. Bitte räum Hindernisse um mich herum weg.;
152;Der Weg ist blockiert. Bitte lösche Sperrzonen oder setz mich um.;
